"Link Immagine";"Opera";"Località";"Ubicazione";"Anno collocamento";
"70|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/70.pdf";"Lapide a Gaspare Finali via Fiorenzuola";"CASE FINALI";"Via Fiorenzuola (cv. 1176)";1.906;
"71|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/71.pdf";"Lapide a Leonida Montanari Casa Natale";"CESENA";"Corso Ubaldo Comandini (cv. 85)";1.906;
"72|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/72.pdf";"Lapide a Giuseppe Garibaldi via Cesenatico";"MACERONE";"Via Cesenatico (cv. 5735) - c/o scuola elementare";1.907;
"73|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/73.pdf";"Lapide a Giuseppe Mazzini Via Cesenatico";"MACERONE";"Via Cesenatico (cv. 5735) - c/o scuola elementare";1.907;
"74|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/74.pdf";"Lapide a Giosue Carducci";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 14)";1.908;
"75|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/75.pdf";"Lapide a Cesare Battisti";"CESENA";"Piazza Guidazzi - c/o facciata  Teatro Bonci";1.918;
"76|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/76.pdf";"Cippo ai Caduti via Dismano";"PIEVESESTINA";"Via Dismano - c/o cimitero";1.919;
"77|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/77.pdf";"Lapide ai Caduti via Dismano";"PIEVESESTINA";"Via Dismano - c/o cimitero";1.919;
"78|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/78.pdf";"Lapide a Andrea Costa";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 16)";1.920;
"79|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/79.pdf";"Lapide al Soldato Ignoto";"S. CARLO";"Via di S. Mamante - c/o cimitero S. Carlo";1.921;
"7|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/7.pdf";"Cippo a Fusconi-Urbini-Barbanti-Slavo";"MARTORANO";"Via Ravennate (cv.2805)";;
"80|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/80.pdf";"Lapide con Verso di Dante";"CESENA";"Piazza del Popolo - c/o mura Loggetta Veneziana";1.921;
"81|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/81.pdf";"Lapide ai Caduti per l'Italia";"S. CARLO";"Via S. Mamante - c/o cimitero S. Carlo";1.923;
"82|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/82.pdf";"Lapide a Gaspare Finali Corso Sozzi";"CESENA";"Corso Sozzi (cv. 74)";1.926;
"83|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/83.pdf";"Lapide ai Caduti nella Guerra di Libia";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 9)";1.926;
"84|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/84.pdf";"Monumento ai Caduti della grande Guerra";"S. CRISTOFORO";"Via Chiesa di S. Cristoforo";1.926;
"85|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/85.pdf";"Lapide ai Caduti di Macerone Guerra 15_18";"MACERONE";"Via Cesenatico (cv. 5735) - c/o scuola elementare";1.933;
"86|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/86.pdf";"Lapide ai Caduti per la patria";"RUFFIO";"Via Ruffio c/o cimitero";1.933;
"87|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/87.pdf";"Busto a William DAltri";"CESENA";"Viale Carducci - c/o pista ciclabile (dav. cv. 43)";1.936;
"88|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/88.pdf";"Cippo ai Caduti via Chiesa di S.Andrea in B";"S. ANDREA IN BAGNOLO";"Via Chiesa di S. Andrea in B. - c/o cimitero";1.940;
"89|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/89.pdf";"Lapide a S.S Papa PioVII Chiaramonti";"CESENA";"Via Milani (cv. 20)";1.942;
"8|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/8.pdf";"Cippo ai Caduti delle due guerre";"S. MAMANTE";"Via di S. Mamante - c/o cimitero S. Mamante";;
"90|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/90.pdf";"Cippo a Torello Latini e Pietro Maganza";"BAGNILE";"Via Rovescio angolo via Masiera I";1.944;
"91|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/91.pdf";"Cippo ad Agapito Latini e Virgilio Lucci";"S.GIORGIO";"Via S. Giorgio angolo via Cerchia S. Martino";1.944;
"92|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/92.pdf";"Cippo a Ridolfi _ Farabegoli _ Piraccini _Vicini";"CASE FINALI";"Via S. Tomaso  km. 2250";1.946;
